,Value Date,Year,Month,YearMonth,Payment Date,ValueDate_Modified,Day of month,Week,MonthShort,Initial,Quarter,Month & Year,Qtr & Year,IsCurrentMonth,AllDisplay
0,2019-01-01,2019,1,2019-01,,2019-01-01,1,1,Jan,J,Q1,Jan 2019,Q1 2019,False,True
1,2019-01-02,2019,1,2019-01,,2019-01-02,2,1,Jan,J,Q1,Jan 2019,Q1 2019,False,True
2,2019-01-03,2019,1,2019-01,,2019-01-03,3,1,Jan,J,Q1,Jan 2019,Q1 2019,False,True
3,2019-01-04,2019,1,2019-01,,2019-01-04,4,1,Jan,J,Q1,Jan 2019,Q1 2019,False,True
4,2019-01-05,2019,1,2019-01,,2019-01-05,5,1,Jan,J,Q1,Jan 2019,Q1 2019,False,True
5,2019-01-06,2019,1,2019-01,,2019-01-06,6,1,Jan,J,Q1,Jan 2019,Q1 2019,False,True
6,2019-01-07,2019,1,2019-01,,2019-01-07,7,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
7,2019-01-08,2019,1,2019-01,,2019-01-08,8,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
8,2019-01-09,2019,1,2019-01,,2019-01-09,9,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
9,2019-01-10,2019,1,2019-01,,2019-01-10,10,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
10,2019-01-11,2019,1,2019-01,,2019-01-11,11,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
11,2019-01-12,2019,1,2019-01,,2019-01-12,12,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
12,2019-01-13,2019,1,2019-01,,2019-01-13,13,2,Jan,J,Q1,Jan 2019,Q1 2019,False,True
13,2019-01-14,2019,1,2019-01,,2019-01-14,14,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
14,2019-01-15,2019,1,2019-01,,2019-01-15,15,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
15,2019-01-16,2019,1,2019-01,,2019-01-16,16,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
16,2019-01-17,2019,1,2019-01,,2019-01-17,17,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
17,2019-01-18,2019,1,2019-01,,2019-01-18,18,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
18,2019-01-19,2019,1,2019-01,,2019-01-19,19,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
19,2019-01-20,2019,1,2019-01,,2019-01-20,20,3,Jan,J,Q1,Jan 2019,Q1 2019,False,True
20,2019-01-21,2019,1,2019-01,,2019-01-21,21,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
21,2019-01-22,2019,1,2019-01,,2019-01-22,22,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
22,2019-01-23,2019,1,2019-01,,2019-01-23,23,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
23,2019-01-24,2019,1,2019-01,,2019-01-24,24,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
24,2019-01-25,2019,1,2019-01,,2019-01-25,25,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
25,2019-01-26,2019,1,2019-01,,2019-01-26,26,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
26,2019-01-27,2019,1,2019-01,,2019-01-27,27,4,Jan,J,Q1,Jan 2019,Q1 2019,False,True
27,2019-01-28,2019,1,2019-01,,2019-01-28,28,5,Jan,J,Q1,Jan 2019,Q1 2019,False,True
28,2019-01-29,2019,1,2019-01,,2019-01-29,29,5,Jan,J,Q1,Jan 2019,Q1 2019,False,True
29,2019-01-30,2019,1,2019-01,,2019-01-30,30,5,Jan,J,Q1,Jan 2019,Q1 2019,False,True
30,2019-01-31,2019,1,2019-01,,2019-01-31,31,5,Jan,J,Q1,Jan 2019,Q1 2019,False,True
31,2019-02-01,2019,2,2019-02,,2019-02-01,1,5,Feb,F,Q1,Feb 2019,Q1 2019,False,True
32,2019-02-02,2019,2,2019-02,,2019-02-02,2,5,Feb,F,Q1,Feb 2019,Q1 2019,False,True
33,2019-02-03,2019,2,2019-02,,2019-02-03,3,5,Feb,F,Q1,Feb 2019,Q1 2019,False,True
34,2019-02-04,2019,2,2019-02,,2019-02-04,4,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
35,2019-02-05,2019,2,2019-02,,2019-02-05,5,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
36,2019-02-06,2019,2,2019-02,,2019-02-06,6,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
37,2019-02-07,2019,2,2019-02,,2019-02-07,7,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
38,2019-02-08,2019,2,2019-02,,2019-02-08,8,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
39,2019-02-09,2019,2,2019-02,,2019-02-09,9,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
40,2019-02-10,2019,2,2019-02,,2019-02-10,10,6,Feb,F,Q1,Feb 2019,Q1 2019,False,True
41,2019-02-11,2019,2,2019-02,,2019-02-11,11,7,Feb,F,Q1,Feb 2019,Q1 2019,False,True
42,2019-02-12,2019,2,2019-02,,2019-02-12,12,7,Feb,F,Q1,Feb 2019,Q1 2019,False,True
43,2019-02-13,2019,2,2019-02,,2019-02-13,13,7,Feb,F,Q1,Feb 2019,Q1 2019,False,True
