PrimaryKey,Value Date,Value Time,ValueDate_Modified,YearMonth,Year,Month,Type,Description,Beneficiary or Cardholder,Amount,Classification,INOUT
2023-04-2100:00ParallelsPending-180,2023-04-21,00:00,2023-04-21,2023-04,2023,4,Forecast,Parallels,Pending,-180.0,Hobbies,Out
2023-04-2200:00Apple StoragePending-45,2023-04-22,00:00,2023-04-22,2023-04,2023,4,Forecast,Apple Storage,Pending,-45.0,Hobbies,Out
2023-04-2700:00CleaningPending-150,2023-04-27,00:00,2023-04-27,2023-04,2023,4,Forecast,Cleaning,Pending,-150.0,Cleaning,Out
2023-04-2700:00InvestingPending-3000,2023-04-27,00:00,2023-04-27,2023-04,2023,4,Forecast,Investing,Pending,-3000.0,Investing,Out
2023-04-2700:00Notice SavingsPendingnan,2023-04-27,00:00,2023-04-27,2023-04,2023,4,Forecast,Notice Savings,Pending,,Savings,Out
2023-04-2800:00Apple MusicPending-110,2023-04-28,00:00,2023-04-28,2023-04,2023,4,Forecast,Apple Music,Pending,-110.0,Hobbies,Out
2023-04-2900:00Car licencePending-83,2023-04-29,00:00,2023-04-29,2023-04,2023,4,Forecast,Car licence,Pending,-83.0,Car,Out
2023-04-2900:00Car servicePending-333,2023-04-29,00:00,2023-04-29,2023-04,2023,4,Forecast,Car service,Pending,-333.0,Car,Out
2023-04-2900:00RentPending-8000,2023-04-29,00:00,2023-04-29,2023-04,2023,4,Forecast,Rent,Pending,-8000.0,Rent,Out
2023-05-0100:00ElectricityPending-300,2023-05-01,00:00,2023-05-01,2023-05,2023,5,Forecast,Electricity,Pending,-300.0,Electricity,Out
2023-05-0100:00DiscoveryInsurePending-1360,2023-05-01,00:00,2023-05-01,2023-05,2023,5,Forecast,DiscoveryInsure,Pending,-1360.0,Insurance,Out
2023-05-0100:00VodacomPending-166,2023-05-01,00:00,2023-05-01,2023-05,2023,5,Forecast,Vodacom,Pending,-166.0,Phone,Out
2023-05-0100:00Google StoragePending-24,2023-05-01,00:00,2023-05-01,2023-05,2023,5,Forecast,Google Storage,Pending,-24.0,Hobbies,Out
2023-05-0200:00CoolIdeasPending-609,2023-05-02,00:00,2023-05-02,2023-05,2023,5,Forecast,CoolIdeas,Pending,-609.0,Internet,Out
2023-05-0800:00BankingPendingnan,2023-05-08,00:00,2023-05-08,2023-05,2023,5,Forecast,Banking,Pending,,Banking,Out
2023-05-0900:00Booty by BrettPending0,2023-05-09,00:00,2023-05-09,2023-05,2023,5,Forecast,Booty by Brett,Pending,0.0,Fitness,Out
2023-05-1000:00FantasticalPending-58,2023-05-10,00:00,2023-05-10,2023-05,2023,5,Forecast,Fantastical,Pending,-58.0,Hobbies,Out
2023-05-1000:00AppleWatchPending-275,2023-05-10,00:00,2023-05-10,2023-05,2023,5,Forecast,AppleWatch,Pending,-275.0,Fitness,Out
2023-05-1100:00StravaPending-50,2023-05-11,00:00,2023-05-11,2023-05,2023,5,Forecast,Strava,Pending,-50.0,Fitness,Out
2023-05-1800:00iPhonePending-664.84,2023-05-18,00:00,2023-05-18,2023-05,2023,5,Forecast,iPhone,Pending,-664.84,Phone,Out
2023-05-1800:00MuseScorePending-46,2023-05-18,00:00,2023-05-18,2023-05,2023,5,Forecast,MuseScore,Pending,-46.0,Hobbies,Out
2023-05-2100:00ParallelsPending-180,2023-05-21,00:00,2023-05-21,2023-05,2023,5,Forecast,Parallels,Pending,-180.0,Hobbies,Out
2023-05-2200:00Apple StoragePending-45,2023-05-22,00:00,2023-05-22,2023-05,2023,5,Forecast,Apple Storage,Pending,-45.0,Hobbies,Out
2023-05-2700:00Notice SavingsPendingnan,2023-05-27,00:00,2023-05-27,2023-05,2023,5,Forecast,Notice Savings,Pending,,Savings,Out
2023-05-2700:00InvestingPending-3000,2023-05-27,00:00,2023-05-27,2023-05,2023,5,Forecast,Investing,Pending,-3000.0,Investing,Out
2023-05-2700:00CleaningPending-150,2023-05-27,00:00,2023-05-27,2023-05,2023,5,Forecast,Cleaning,Pending,-150.0,Cleaning,Out
2023-05-2800:00Apple MusicPending-110,2023-05-28,00:00,2023-05-28,2023-05,2023,5,Forecast,Apple Music,Pending,-110.0,Hobbies,Out
2023-05-2900:00Car servicePending-333,2023-05-29,00:00,2023-05-29,2023-05,2023,5,Forecast,Car service,Pending,-333.0,Car,Out
2023-05-2900:00RentPending-8000,2023-05-29,00:00,2023-05-29,2023-05,2023,5,Forecast,Rent,Pending,-8000.0,Rent,Out
2023-05-2900:00Car licencePending-83,2023-05-29,00:00,2023-05-29,2023-05,2023,5,Forecast,Car licence,Pending,-83.0,Car,Out
2023-06-0100:00ElectricityPending-300,2023-06-01,00:00,2023-06-01,2023-06,2023,6,Forecast,Electricity,Pending,-300.0,Electricity,Out
2023-06-0100:00Google StoragePending-24,2023-06-01,00:00,2023-06-01,2023-06,2023,6,Forecast,Google Storage,Pending,-24.0,Hobbies,Out
2023-06-0100:00DiscoveryInsurePending-1360,2023-06-01,00:00,2023-06-01,2023-06,2023,6,Forecast,DiscoveryInsure,Pending,-1360.0,Insurance,Out
2023-06-0100:00VodacomPending-166,2023-06-01,00:00,2023-06-01,2023-06,2023,6,Forecast,Vodacom,Pending,-166.0,Phone,Out
2023-06-0200:00CoolIdeasPending-609,2023-06-02,00:00,2023-06-02,2023-06,2023,6,Forecast,CoolIdeas,Pending,-609.0,Internet,Out
2023-06-0800:00BankingPendingnan,2023-06-08,00:00,2023-06-08,2023-06,2023,6,Forecast,Banking,Pending,,Banking,Out
2023-06-0900:00Booty by BrettPending0,2023-06-09,00:00,2023-06-09,2023-06,2023,6,Forecast,Booty by Brett,Pending,0.0,Fitness,Out
2023-06-1000:00FantasticalPending-58,2023-06-10,00:00,2023-06-10,2023-06,2023,6,Forecast,Fantastical,Pending,-58.0,Hobbies,Out
2023-06-1000:00AppleWatchPending-275,2023-06-10,00:00,2023-06-10,2023-06,2023,6,Forecast,AppleWatch,Pending,-275.0,Fitness,Out
2023-06-1100:00StravaPending-50,2023-06-11,00:00,2023-06-11,2023-06,2023,6,Forecast,Strava,Pending,-50.0,Fitness,Out
2023-06-1800:00MuseScorePending-46,2023-06-18,00:00,2023-06-18,2023-06,2023,6,Forecast,MuseScore,Pending,-46.0,Hobbies,Out
2023-06-1800:00iPhonePending-664.84,2023-06-18,00:00,2023-06-18,2023-06,2023,6,Forecast,iPhone,Pending,-664.84,Phone,Out
2023-06-2100:00ParallelsPending-180,2023-06-21,00:00,2023-06-21,2023-06,2023,6,Forecast,Parallels,Pending,-180.0,Hobbies,Out
2023-06-2200:00Apple StoragePending-45,2023-06-22,00:00,2023-06-22,2023-06,2023,6,Forecast,Apple Storage,Pending,-45.0,Hobbies,Out
2023-06-2700:00Notice SavingsPendingnan,2023-06-27,00:00,2023-06-27,2023-06,2023,6,Forecast,Notice Savings,Pending,,Savings,Out
2023-06-2700:00CleaningPending-150,2023-06-27,00:00,2023-06-27,2023-06,2023,6,Forecast,Cleaning,Pending,-150.0,Cleaning,Out
2023-06-2700:00InvestingPending-3000,2023-06-27,00:00,2023-06-27,2023-06,2023,6,Forecast,Investing,Pending,-3000.0,Investing,Out
2023-06-2800:00Apple MusicPending-110,2023-06-28,00:00,2023-06-28,2023-06,2023,6,Forecast,Apple Music,Pending,-110.0,Hobbies,Out
